std,frac,mean,ssim,cmsc,gcmsc
0,1,0,-0.17054012026562726,-0.5593157607444819,-0.9996841689093849
0.001,1,0,-0.17053890021563498,-0.5592683307498723,-0.9992670240332391
0.002,1,0,-0.17053813650883728,-0.5591152660387415,-0.9985464919406156
0.003,1,0,-0.1705379337939151,-0.5588911058319911,-0.9975169507064297
0.004,1,0,-0.17053843706473373,-0.5585875910379852,-0.9961801272876801
0.005,1,0,-0.1705396976711891,-0.5582137708286837,-0.9945911673951116
0.006,1,0,-0.17054164089866128,-0.5577772858095779,-0.9927901071374349
0.007,1,0,-0.17054422932400345,-0.5572839179642319,-0.9908040770584592
0.008,1,0,-0.1705474943136587,-0.5567383786419173,-0.9886410251192443
0.009000000000000001,1,0,-0.1705514388195656,-0.5561449268570399,-0.986320402123826
0.01,1,0,-0.1705560079430359,-0.5555073751495762,-0.9838622672185316
0.011,1,0,-0.17056112015463265,-0.5548290986175436,-0.9812878239679447
0.012,1,0,-0.17056675162050325,-0.5541130292357564,-0.9786197040689624
0.013000000000000001,1,0,-0.17057289942811704,-0.5533615119928629,-0.975858778967057
0.014,1,0,-0.17057954231345604,-0.5525767617576987,-0.9730151585035426
0.015,1,0,-0.17058657552122755,-0.551760982945846,-0.9701039893048051
0.016,1,0,-0.17059398206391738,-0.5509159453324058,-0.9671331303286812
0.017,1,0,-0.17060172097092416,-0.5500431092310686,-0.9641048180868224
0.018000000000000002,1,0,-0.17060979147131264,-0.5491439540069025,-0.9610250780350285
0.019,1,0,-0.17061811395434281,-0.5482199994970834,-0.9579020729656447
0.02,1,0,-0.17062653444804254,-0.5472727482936665,-0.9547466359309007
0.021,1,0,-0.17063502040425305,-0.5463033506423519,-0.9515631024437813
0.022,1,0,-0.17064348220847178,-0.5453129685199365,-0.9483549752694251
0.023,1,0,-0.17065196476825958,-0.5443025313541935,-0.9451222283028783
0.024,1,0,-0.1706604084722117,-0.5432730524487482,-0.941867231041874
0.025,1,0,-0.1706686957405581,-0.5422256068797495,-0.938593445495842
0.026000000000000002,1,0,-0.17067672735424122,-0.5411612957628975,-0.9353041081738521
0.027,1,0,-0.1706845083514343,-0.5400808985753688,-0.9319986110712821
0.028,1,0,-0.17069185549020496,-0.5389854512564065,-0.9286814027852173
0.029,1,0,-0.17069867601255995,-0.5378757521272474,-0.9253542409810508
0.03,1,0,-0.17070505519325213,-0.5367524669702568,-0.922018400411972
0.031,1,0,-0.17071093379760197,-0.5356163847675912,-0.9186759873360945
0.032,1,0,-0.17071608454851814,-0.5344683552826356,-0.9153296895613755
0.033,1,0,-0.1707204519604237,-0.5333092414256284,-0.9119820110873863
0.034,1,0,-0.17072407998195818,-0.5321396250190846,-0.9086345025518524
0.035,1,0,-0.1707267806913831,-0.5309603242924553,-0.9052889066334389
0.036000000000000004,1,0,-0.17072851243678894,-0.5297715850905264,-0.9019442553148644
0.037,1,0,-0.17072918496626519,-0.5285741426539151,-0.8986016265603846
0.038,1,0,-0.17072868420133,-0.5273687827101943,-0.8952637657690751
0.039,1,0,-0.17072699984211573,-0.5261559818067861,-0.8919297162765676
0.04,1,0,-0.17072416716666242,-0.524936297881812,-0.8886017964317303
0.041,1,0,-0.170720131758925,-0.5237103715834551,-0.8852821449296526
0.042,1,0,-0.17071471815066044,-0.5224785395646193,-0.8819683306793588
0.043000000000000003,1,0,-0.1707078128728503,-0.521241450159532,-0.8786635909537676
0.044,1,0,-0.17069945843078269,-0.5199993891991787,-0.8753678197860337
0.045,1,0,-0.17068953402754095,-0.5187530474640366,-0.8720831002196912
0.046,1,0,-0.17067799713190204,-0.5175025566626542,-0.8688071528932358
0.047,1,0,-0.1706646574296196,-0.5162487232441545,-0.8655435956819174
0.048,1,0,-0.17064949412077185,-0.5149917794443309,-0.8622910654322556
0.049,1,0,-0.17063253488867788,-0.5137037216088672,-0.8590082416969107
0.05,1,0,-0.17061369926968722,-0.5124415446949677,-0.8557783575614233
0.051000000000000004,1,0,-0.17059288431627323,-0.5111770816811368,-0.8525593769180714
0.052000000000000005,1,0,-0.17057006654008391,-0.5099106346168071,-0.8493514170429427
0.053,1,0,-0.1705451428586218,-0.5086426081401386,-0.8461569327669334
0.054,1,0,-0.17051798062604712,-0.5073736142528774,-0.8429775686691826
0.055,1,0,-0.17048861944426433,-0.5061040145297641,-0.8398127986123645
0.056,1,0,-0.17045700918096002,-0.5048339532485739,-0.8366631524368028
0.057,1,0,-0.17042314634686676,-0.5035634797078441,-0.8335275592452138
0.058,1,0,-0.17038706147441135,-0.5022926537789564,-0.8304055401520986
0.059000000000000004,1,0,-0.1703486293730229,-0.5010219339157557,-0.8272974448450394
0.06,1,0,-0.17030783539756966,-0.4997516538398648,-0.8242049251448951
0.061,1,0,-0.17026459216299505,-0.49848212439574685,-0.8211286908880566
0.062,1,0,-0.17021877097239788,-0.49721353643676564,-0.8180688467047276
0.063,1,0,-0.17017040321740376,-0.49594591071781996,-0.8150237773079095
0.064,1,0,-0.17011949191638467,-0.4946793934609658,-0.811993710306371
0.065,1,0,-0.17006597322484157,-0.493414141029009,-0.8089790965340978
0.066,1,0,-0.17000983220802923,-0.492150297472228,-0.8059791058680482
0.067,1,0,-0.1699510456606615,-0.49088783488253374,-0.8029926177279451
0.068,1,0,-0.16988970911382703,-0.48962693116244643,-0.8000206781023923
0.069,1,0,-0.16982576334187605,-0.4883679543681388,-0.7970639149011014
0.07,1,0,-0.16975913048907126,-0.4871109727553609,-0.7941222732439791
0.07100000000000001,1,0,-0.1696897308510549,-0.4858560457572358,-0.7911956770691662
0.07200000000000001,1,0,-0.16961759877585397,-0.48460329232301075,-0.7882839101570216
0.073,1,0,-0.16954260288167833,-0.48335297417423845,-0.785387311216079
0.074,1,0,-0.16946483985592375,-0.48210520190816936,-0.7825062120021122
0.075,1,0,-0.16938421670376805,-0.4808600877460482,-0.7796408578106307
0.076,1,0,-0.16930063090775754,-0.4796180398845703,-0.7767921557479756
0.077,1,0,-0.16921389541304932,-0.47837938223561327,-0.7739614701924481
0.078,1,0,-0.16912427471782326,-0.4771434571399136,-0.7711454999104265
0.079,1,0,-0.16903185940629142,-0.4759104639343235,-0.7683448181178927
0.08,1,0,-0.168936692729764,-0.4746804689524721,-0.7655585134593169
0.081,1,0,-0.16883874707612156,-0.4734534891035123,-0.7627867558326076
0.082,1,0,-0.16873793234563728,-0.4722297288991955,-0.7600305086382689
0.083,1,0,-0.1686343822536162,-0.4710090609310436,-0.7572887265846334
0.084,1,0,-0.16852797511815998,-0.46979177344251527,-0.7545620309655618
0.085,1,0,-0.16841865838427936,-0.46857813617135957,-0.7518507957020583
0.08600000000000001,1,0,-0.16830649058807173,-0.4673681447969635,-0.7491554967525506
0.08700000000000001,1,0,-0.16819148730839567,-0.4661616112422978,-0.7464751158869191
0.088,1,0,-0.1680737341710308,-0.4649246694469287,-0.7437778915874586
0.089,1,0,-0.16795329175765042,-0.46372510680344997,-0.7411261691075623
0.09,1,0,-0.16783001492031402,-0.4625290262411358,-0.7384879882387912
0.091,1,0,-0.1677039210176035,-0.461336681801267,-0.7358647218023612
0.092,1,0,-0.16757509993176142,-0.46014790405730255,-0.7332558158956083
0.093,1,0,-0.16744354550432944,-0.4589628415046206,-0.730661061810456
0.094,1,0,-0.16730902658331656,-0.4577819256474854,-0.7280830762637437
0.095,1,0,-0.16717169801656467,-0.4566048594280464,-0.7255194988997593
0.096,1,0,-0.1670316675820371,-0.45543150598348664,-0.7229700713516081
0.097,1,0,-0.1668889052508607,-0.45426195865696567,-0.7204348105653745
0.098,1,0,-0.16674348326843777,-0.4530963306564821,-0.7179141477904201
0.099,1,0,-0.16659541998883903,-0.45193475285266266,-0.7154083220054358
0.1,1,0,-0.16644465499264355,-0.4507771514675833,-0.7129171210970542
